Giới tính của bạn là gì?,Ngành bạn học là ngành gì?,Bạn là sinh viên năm mấy?,Nhu cầu và động cơ khi bạn làm việc nhóm [Bạn hoàn thành việc nhóm chỉ vì điểm số ],Nhu cầu và động cơ khi bạn làm việc nhóm [Bạn hoàn thành việc nhóm vì kiến thức có được sau mỗi bài tập],Nhu cầu và động cơ khi bạn làm việc nhóm [Bạn hoàn thành việc nhóm chỉ để qua môn],Nhu cầu và động cơ khi bạn làm việc nhóm [Bạn làm việc nhóm với mong muốn được thể hiện bản thân],Cảm xúc của bạn khi làm việc nhóm  [Khi tâm trạng bạn vui vẻ và thoải mái thì bạn tích cực làm việc nhóm và mang lại hiệu quả hơn ],Cảm xúc của bạn khi làm việc nhóm  [Khi bạn trong tình trạng căng thẳng thì kết quả làm việc nhóm có hiệu quả thấp hơn],Cảm xúc của bạn khi làm việc nhóm  [Khi bạn có chuyện buồn hoặc không thoải mái thì hiệu quả làm việc nhóm sẽ thấp hơn],Cảm xúc của bạn khi làm việc nhóm  [Cảm xúc của các thành viên trong nhóm sẽ ảnh hưởng đồng biến với hiệu quả làm việc của bạn ],Bạn thuộc nhóm tính cách nào sau đây khi làm việc nhóm?,Ảnh hưởng của tính cách đến hiệu quả làm việc nhóm [Thành viên thuộc nhóm D - Người thủ lĩnh sẽ mang lại hiệu quả công việc cao hơn?],Ảnh hưởng của tính cách đến hiệu quả làm việc nhóm [Thành viên thuộc nhóm I - Người tạo ảnh hưởng sẽ mang lại hiệu quả công việc cao hơn?],Ảnh hưởng của tính cách đến hiệu quả làm việc nhóm [Thành viên thuộc nhóm S - Người ổn định sẽ mang lại hiệu quả công việc cao hơn?],Ảnh hưởng của tính cách đến hiệu quả làm việc nhóm [Thành viên thuộc nhóm C - Người kỷ luật sẽ mang lại hiệu quả công việc cao hơn?],"Theo bạn, thành viên trong nhóm thuộc kiểu tính cách nào sẽ mang lại hiệu quả khi làm việc nhóm nhất? Các bạn sắp xếp theo thứ tự mức độ hiệu quả giảm dần từ trái qua phải nhé! [Nhóm D - Người thủ lĩnh ]","Theo bạn, thành viên trong nhóm thuộc kiểu tính cách nào sẽ mang lại hiệu quả khi làm việc nhóm nhất? Các bạn sắp xếp theo thứ tự mức độ hiệu quả giảm dần từ trái qua phải nhé! [Nhóm I - Người tạo ảnh hưởng ]","Theo bạn, thành viên trong nhóm thuộc kiểu tính cách nào sẽ mang lại hiệu quả khi làm việc nhóm nhất? Các bạn sắp xếp theo thứ tự mức độ hiệu quả giảm dần từ trái qua phải nhé! [Nhóm S - Người kiên định ]","Theo bạn, thành viên trong nhóm thuộc kiểu tính cách nào sẽ mang lại hiệu quả khi làm việc nhóm nhất? Các bạn sắp xếp theo thứ tự mức độ hiệu quả giảm dần từ trái qua phải nhé! [Nhóm C - Người kỷ luật ]",Tính khí khi làm việc nhóm [Bạn là người sôi nổi trong nhóm khi thực hiện công việc],Tính khí khi làm việc nhóm [Bạn là người linh hoạt khi thực hiện việc nhóm],Tính khí khi làm việc nhóm [Bạn điềm tĩnh trong việc nhóm],"Tính khí khi làm việc nhóm [Bạn là người ưu tư, lo lắng và buồn phiền khi làm việc nhóm]",Mức độ ảnh hưởng của các kỹ năng dưới đây với hiệu quả làm việc nhóm [Sự định hình nhóm],Mức độ ảnh hưởng của các kỹ năng dưới đây với hiệu quả làm việc nhóm [Động lực ],Mức độ ảnh hưởng của các kỹ năng dưới đây với hiệu quả làm việc nhóm [Nhận thức về cảm xúc của các thành viên trong nhóm],Mức độ ảnh hưởng của các kỹ năng dưới đây với hiệu quả làm việc nhóm [Giao tiếp giữa các thành viên với nhau],Mức độ ảnh hưởng của các kỹ năng dưới đây với hiệu quả làm việc nhóm [Sức chịu đựng căng thẳng của cá nhân],Mức độ ảnh hưởng của các kỹ năng dưới đây với hiệu quả làm việc nhóm [Giải quyết căng thẳng của leader và các thành viên trong nhóm],Mức độ ảnh hưởng của các kỹ năng dưới đây với hiệu quả làm việc nhóm [Tâm trạng tích cực],HIệu quả làm việc nhóm  [Nhóm bạn thường làm việc hiệu quả và đạt kết quả cao],HIệu quả làm việc nhóm  [Nhóm bạn thường làm việc hiệu quả nhưng kết quả không như ý]
Nữ,Kỹ thuật,Năm 3,Đồng ý,Rất đồng ý,Phân vân,Rất không đồng ý,Rất đồng ý,Phân vân,Đồng ý,Không đồng ý,Nhóm C,Đồng ý,Rất đồng ý,Phân vân,Đồng ý,Hiệu quả thứ 3,Hiệu quả nhất,Hiệu quả thứ 4,Hiệu quả thứ 2,Phân vân,Đồng ý,Đồng ý,Rất không đồng ý,Ảnh hưởng,Ảnh hưởng,Phân vân,Rất ảnh hưởng,Không ảnh hưởng,Rất ảnh hưởng,Phân vân,Đồng ý,Phân vân
Nữ,Công nghệ thông tin,Năm 3,Đồng ý,Phân vân,Phân vân,Phân vân,Đồng ý,Rất đồng ý,Đồng ý,Đồng ý,Nhóm I,Đồng ý,Rất đồng ý,Phân vân,Đồng ý,Hiệu quả thứ 3,Hiệu quả nhất,Hiệu quả thứ 4,Hiệu quả thứ 2,Đồng ý,Rất đồng ý,Phân vân,Rất không đồng ý,Ảnh hưởng,Phân vân,Phân vân,Rất ảnh hưởng,Ảnh hưởng,Rất ảnh hưởng,Phân vân,Đồng ý,Không đồng ý
Nam,Kinh tế,Năm 3,Đồng ý,Phân vân,Rất đồng ý,Phân vân,Đồng ý,Phân vân,Rất đồng ý,Không đồng ý,Nhóm D,Đồng ý,Phân vân,Phân vân,Đồng ý,Hiệu quả nhất,Hiệu quả thứ 2,Hiệu quả thứ 4,Hiệu quả thứ 3,Đồng ý,Rất đồng ý,Phân vân,Rất không đồng ý,Ảnh hưởng,Không ảnh hưởng,Ảnh hưởng,Rất ảnh hưởng,Phân vân,Ảnh hưởng,Ảnh hưởng,Đồng ý,Không đồng ý
Nữ,Kinh tế,Năm 2,Đồng ý,Đồng ý,Rất không đồng ý,Rất không đồng ý,Đồng ý,Đồng ý,Rất không đồng ý,Rất không đồng ý,Nhóm S,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Hiệu quả thứ 4,Hiệu quả nhất,Hiệu quả thứ 2,Hiệu quả thứ 3,Rất không đồng ý,Đồng ý,Đồng ý,Đồng ý,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Phân vân,Đồng ý
Nam,Kỹ thuật,Năm 4,Không đồng ý,Đồng ý,Không đồng ý,Không đồng ý,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Nhóm C,Đồng ý,,,,Hiệu quả nhất,Hiệu quả thứ 2,Hiệu quả thứ 3,Hiệu quả thứ 4,Không đồng ý,Không đồng ý,Đồng ý,Không đồng ý,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Đồng ý,Không đồng ý
Nam,Kỹ thuật,Năm 1,Phân vân,Rất đồng ý,Đồng ý,Rất đồng ý,Đồng ý,Đồng ý,Không đồng ý,Phân vân,Nhóm S,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Hiệu quả thứ 3,Hiệu quả thứ 4,Hiệu quả thứ 2,Hiệu quả nhất,Phân vân,Đồng ý,Đồng ý,Đồng ý,Rất ảnh hưởng,Ảnh hưởng,Rất ảnh hưởng,Rất ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Đồng ý,Phân vân
Nữ,Kinh tế,Năm 3,Đồng ý,Đồng ý,Đồng ý,Không đồng ý,Đồng ý,Đồng ý,Đồng ý,Phân vân,Nhóm S,Phân vân,Đồng ý,Đồng ý,Đồng ý,Hiệu quả nhất,Hiệu quả thứ 2,Hiệu quả thứ 3,Hiệu quả thứ 4,Phân vân,Phân vân,Đồng ý,Phân vân,Phân vân,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Phân vân,Phân vân,Ảnh hưởng,Phân vân,Đồng ý
Nam,Kỹ thuật,Năm 1,Rất không đồng ý,Rất đồng ý,Rất không đồng ý,Không đồng ý,Rất không đồng ý,Không đồng ý,Không đồng ý,Rất đồng ý,Nhóm C,Rất đồng ý,Đồng ý,Rất đồng ý,Đồng ý,Hiệu quả nhất,Hiệu quả thứ 2,Hiệu quả thứ 3,Hiệu quả thứ 4,Đồng ý,Đồng ý,Đồng ý,Phân vân,Ảnh hưởng,Rất ảnh hưởng,Phân vân,Rất ảnh hưởng,Rất ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Rất đồng ý,Rất không đồng ý
Nữ,Môi trường,Năm 1,Đồng ý,Phân vân,Đồng ý,Phân vân,Phân vân,Đồng ý,Đồng ý,Đồng ý,Nhóm S,Phân vân,Đồng ý,Đồng ý,Phân vân,Hiệu quả nhất,Hiệu quả thứ 3,Hiệu quả thứ 4,Hiệu quả thứ 2,Đồng ý,Phân vân,Đồng ý,Phân vân,Ảnh hưởng,Phân vân,Ảnh hưởng,Phân vân,Ảnh hưởng,Phân vân,Ảnh hưởng,Đồng ý,Phân vân
Nữ,Y dược,Năm 3,Đồng ý,Rất đồng ý,Không đồng ý,Không đồng ý,Đồng ý,Phân vân,Đồng ý,Không đồng ý,Nhóm S,Đồng ý,Đồng ý,Phân vân,Đồng ý,Hiệu quả nhất,Hiệu quả thứ 2,Hiệu quả thứ 4,Hiệu quả thứ 3,Không đồng ý,Đồng ý,Đồng ý,Đồng ý,Ảnh hưởng,Ảnh hưởng,Phân vân,Ảnh hưởng,Phân vân,Rất ảnh hưởng,Phân vân,Đồng ý,Không đồng ý
Nam,Công nghệ thông tin,Năm 3,Đồng ý,Phân vân,Đồng ý,Không đồng ý,Đồng ý,Không đồng ý,Rất đồng ý,Phân vân,Nhóm C,Đồng ý,Phân vân,Phân vân,Đồng ý,Hiệu quả nhất,Hiệu quả thứ 3,Hiệu quả thứ 4,Hiệu quả thứ 2,Phân vân,Đồng ý,Đồng ý,Rất không đồng ý,Ảnh hưởng,Rất ảnh hưởng,Không ảnh hưởng,Ảnh hưởng,Phân vân,Ảnh hưởng,Phân vân,Đồng ý,Không đồng ý
Nam,Báo chí,Năm 3,Không đồng ý,Đồng ý,Không đồng ý,Phân vân,Rất đồng ý,Đồng ý,Phân vân,Đồng ý,Nhóm I,Không đồng ý,Đồng ý,Phân vân,Không đồng ý,Hiệu quả nhất,Hiệu quả thứ 4,Hiệu quả thứ 3,Hiệu quả thứ 2,Rất đồng ý,Đồng ý,Không đồng ý,Rất không đồng ý,Rất ảnh hưởng,Phân vân,Ảnh hưởng,Ảnh hưởng,Phân vân,Không ảnh hưởng,Rất ảnh hưởng,Đồng ý,Không đồng ý
Nữ,Y dược,Năm 3,Đồng ý,Phân vân,Đồng ý,Phân vân,Đồng ý,Không đồng ý,Phân vân,Phân vân,Nhóm S,Phân vân,Đồng ý,Phân vân,Phân vân,Hiệu quả thứ 3,Hiệu quả nhất,Hiệu quả thứ 4,Hiệu quả thứ 2,Không đồng ý,Đồng ý,Phân vân,Không đồng ý,Ảnh hưởng,Ảnh hưởng,Không ảnh hưởng,Ảnh hưởng,Phân vân,Rất ảnh hưởng,Ảnh hưởng,Đồng ý,Phân vân
Nam,Kinh tế,Năm 3,Đồng ý,Phân vân,Đồng ý,Không đồng ý,Đồng ý,Phân vân,Đồng ý,Không đồng ý,Nhóm C,Rất đồng ý,Đồng ý,Phân vân,Đồng ý,Hiệu quả nhất,Hiệu quả thứ 2,Hiệu quả thứ 4,Hiệu quả thứ 3,Không đồng ý,Đồng ý,Đồng ý,Không đồng ý,Ảnh hưởng,Rất ảnh hưởng,Phân vân,Rất ảnh hưởng,Không ảnh hưởng,Ảnh hưởng,Phân vân,Đồng ý,Phân vân
Nữ,Kinh tế,Năm 2,Đồng ý,Phân vân,Đồng ý,Không đồng ý,Đồng ý,Phân vân,Phân vân,Đồng ý,Nhóm S,Đồng ý,Phân vân,Đồng ý,Không đồng ý,Hiệu quả thứ 3,Hiệu quả thứ 2,Hiệu quả thứ 4,Hiệu quả nhất,Phân vân,Đồng ý,Đồng ý,Không đồng ý,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Phân vân,Không ảnh hưởng,Rất ảnh hưởng,Đồng ý,Phân vân
Nữ,Quản trị,Năm 3,Đồng ý,Phân vân,Đồng ý,Rất không đồng ý,Đồng ý,Không đồng ý,Đồng ý,Phân vân,Nhóm I,Đồng ý,Rất đồng ý,Phân vân,Đồng ý,Hiệu quả thứ 2,Hiệu quả nhất,Hiệu quả thứ 4,Hiệu quả thứ 3,Đồng ý,Đồng ý,Không đồng ý,Rất không đồng ý,Ảnh hưởng,Rất ảnh hưởng,Phân vân,Ảnh hưởng,Phân vân,Rất ảnh hưởng,Ảnh hưởng,Đồng ý,Phân vân
Nữ,Sư phạm,Năm 4,Không đồng ý,Đồng ý,Phân vân,Đồng ý,Rất đồng ý,Phân vân,Phân vân,Rất đồng ý,Nhóm I,Không đồng ý,Đồng ý,Phân vân,Không đồng ý,Hiệu quả thứ 2,Hiệu quả thứ 4,Hiệu quả thứ 3,Hiệu quả nhất,Rất đồng ý,Đồng ý,Không đồng ý,Phân vân,Rất ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Phân vân,Không ảnh hưởng,Ảnh hưởng,Đồng ý,Rất không đồng ý
Nữ,Kỹ thuật,Năm 3,Đồng ý,Không đồng ý,Đồng ý,Không đồng ý,Đồng ý,Phân vân,Rất đồng ý,Không đồng ý,Nhóm D,Rất đồng ý,Đồng ý,Phân vân,Đồng ý,Hiệu quả nhất,Hiệu quả thứ 2,Hiệu quả thứ 4,Hiệu quả thứ 3,Đồng ý,Đồng ý,Phân vân,Rất không đồng ý,Ảnh hưởng,Ảnh hưởng,Phân vân,Rất ảnh hưởng,Không ảnh hưởng,Ảnh hưởng,Phân vân,Đồng ý,Không đồng ý
Nữ,Sư phạm,Năm 4,Đồng ý,Phân vân,Đồng ý,Không đồng ý,Đồng ý,Phân vân,Rất đồng ý,Đồng ý,Nhóm C,Đồng ý,Rất đồng ý,Không đồng ý,Đồng ý,Hiệu quả thứ 3,Hiệu quả nhất,Hiệu quả thứ 4,Hiệu quả thứ 2,Phân vân,Đồng ý,Đồng ý,Không đồng ý,Ảnh hưởng,Rất ảnh hưởng,Không ảnh hưởng,Ảnh hưởng,Phân vân,Rất ảnh hưởng,Phân vân,Đồng ý,Phân vân
Nữ,Kinh tế,Năm 2,Không đồng ý,Đồng ý,Không đồng ý,Phân vân,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Nhóm D,Đồng ý,Phân vân,Không đồng ý,Phân vân,Hiệu quả thứ 2,Hiệu quả nhất,Hiệu quả thứ 3,Hiệu quả thứ 4,Đồng ý,Đồng ý,Đồng ý,Không đồng ý,Ảnh hưởng,Ảnh hưởng,Phân vân,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Đồng ý,Không đồng ý
Nữ,Kỹ thuật,Năm 3,Đồng ý,Đồng ý,Phân vân,Không đồng ý,Đồng ý,Phân vân,Rất đồng ý,Rất đồng ý,Nhóm D,Đồng ý,Đồng ý,Phân vân,Phân vân,Hiệu quả nhất,Hiệu quả thứ 2,Hiệu quả thứ 4,Hiệu quả thứ 3,Phân vân,Đồng ý,Đồng ý,Không đồng ý,Ảnh hưởng,Phân vân,Không ảnh hưởng,Ảnh hưởng,Không ảnh hưởng,Rất ảnh hưởng,Ảnh hưởng,Đồng ý,Không đồng ý
Nữ,Kinh tế,Năm 3,Đồng ý,Phân vân,Đồng ý,Không đồng ý,Đồng ý,Phân vân,Rất đồng ý,Không đồng ý,Nhóm I,Đồng ý,Rất đồng ý,Phân vân,Đồng ý,Hiệu quả thứ 2,Hiệu quả nhất,Hiệu quả thứ 4,Hiệu quả thứ 3,Không đồng ý,Đồng ý,Đồng ý,Không đồng ý,Ảnh hưởng,Ảnh hưởng,Phân vân,Ảnh hưởng,Không ảnh hưởng,Rất ảnh hưởng,Phân vân,Đồng ý,Không đồng ý
Nữ,Kinh tế,Năm 3,Phân vân,Đồng ý,Đồng ý,Phân vân,Rất đồng ý,Đồng ý,Đồng ý,Đồng ý,Nhóm C,Rất đồng ý,Đồng ý,Không đồng ý,Phân vân,Hiệu quả nhất,Hiệu quả thứ 2,Hiệu quả thứ 4,Hiệu quả thứ 3,Phân vân,Phân vân,Phân vân,Không đồng ý,Ảnh hưởng,Rất ảnh hưởng,Rất ảnh hưởng,Rất ảnh hưởng,Rất ảnh hưởng,Rất ảnh hưởng,Rất ảnh hưởng,Đồng ý,Không đồng ý
Nam,Kinh tế,Năm 2,Không đồng ý,Đồng ý,Không đồng ý,Không đồng ý,Đồng ý,Không đồng ý,Không đồng ý,Đồng ý,Nhóm D,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Hiệu quả nhất,Hiệu quả thứ 2,Hiệu quả thứ 4,Hiệu quả thứ 3,Không đồng ý,Không đồng ý,Đồng ý,Không đồng ý,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Phân vân,Phân vân
Nữ,Kỹ thuật,Năm 2,Đồng ý,Đồng ý,Đồng ý,Phân vân,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Nhóm I,Phân vân,Đồng ý,Phân vân,Đồng ý,Hiệu quả thứ 2,Hiệu quả thứ 3,Hiệu quả nhất,Hiệu quả thứ 4,Phân vân,Đồng ý,Không đồng ý,Phân vân,Ảnh hưởng,Ảnh hưởng,Phân vân,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Đồng ý,Không đồng ý
Nữ,Kinh tế,Năm 2,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Nhóm D,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Hiệu quả nhất,Hiệu quả thứ 3,Hiệu quả thứ 2,Hiệu quả thứ 4,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Đồng ý,Đồng ý
Nam,Kỹ thuật,Năm 4,Đồng ý,Phân vân,Đồng ý,Rất không đồng ý,Đồng ý,Phân vân,Đồng ý,Không đồng ý,Nhóm I,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Hiệu quả nhất,Hiệu quả thứ 2,Hiệu quả thứ 4,Hiệu quả thứ 3,Đồng ý,Đồng ý,Phân vân,Rất không đồng ý,Ảnh hưởng,Rất ảnh hưởng,Phân vân,Ảnh hưởng,Ảnh hưởng,Rất ảnh hưởng,Ảnh hưởng,Đồng ý,Không đồng ý
Nữ,Kinh tế,Năm 3,Rất đồng ý,Rất đồng ý,Rất không đồng ý,Không đồng ý,Rất đồng ý,Rất đồng ý,Rất đồng ý,Không đồng ý,Nhóm S,Rất đồng ý,Phân vân,Phân vân,Đồng ý,Hiệu quả nhất,Hiệu quả thứ 3,Hiệu quả thứ 4,Hiệu quả thứ 2,Không đồng ý,Phân vân,Đồng ý,Rất đồng ý,Ảnh hưởng,Rất ảnh hưởng,Rất ảnh hưởng,Ảnh hưởng,Rất ảnh hưởng,Ảnh hưởng,Rất ảnh hưởng,Phân vân,Đồng ý
Nữ,Kỹ thuật,Năm 4,Không đồng ý,Đồng ý,Không đồng ý,Không đồng ý,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Nhóm D,Đồng ý,Không đồng ý,Không đồng ý,Đồng ý,Hiệu quả thứ 2,Hiệu quả thứ 3,Hiệu quả thứ 4,Hiệu quả nhất,Đồng ý,Đồng ý,Đồng ý,Không đồng ý,Ảnh hưởng,Không ảnh hưởng,Phân vân,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Đồng ý,Không đồng ý
Nữ,Quản trị,Năm 4,Đồng ý,Phân vân,Đồng ý,Rất không đồng ý,Đồng ý,Phân vân,Đồng ý,Không đồng ý,Nhóm I,Đồng ý,Rất đồng ý,Phân vân,Đồng ý,Hiệu quả thứ 2,Hiệu quả nhất,Hiệu quả thứ 4,Hiệu quả thứ 3,Đồng ý,Đồng ý,Không đồng ý,Không đồng ý,Ảnh hưởng,Rất ảnh hưởng,Phân vân,Ảnh hưởng,Phân vân,Ảnh hưởng,Ảnh hưởng,Đồng ý,Không đồng ý
Nữ,Ngôn ngữ,Năm 2,Không đồng ý,Đồng ý,Rất không đồng ý,Đồng ý,Đồng ý,Đồng ý,Phân vân,Phân vân,Nhóm D,Đồng ý,Đồng ý,Phân vân,Không đồng ý,Hiệu quả nhất,Hiệu quả thứ 2,Hiệu quả thứ 3,Hiệu quả thứ 4,Đồng ý,Đồng ý,Phân vân,Không đồng ý,Phân vân,Ảnh hưởng,Không ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Đồng ý,Không đồng ý
Nữ,Kinh tế,Năm 3,Đồng ý,Không đồng ý,Đồng ý,Không đồng ý,Đồng ý,Phân vân,Rất đồng ý,Phân vân,Nhóm I,Đồng ý,Phân vân,Đồng ý,Đồng ý,Hiệu quả nhất,Hiệu quả thứ 4,Hiệu quả thứ 2,Hiệu quả thứ 3,Đồng ý,Đồng ý,Không đồng ý,Rất không đồng ý,Ảnh hưởng,Rất ảnh hưởng,Phân vân,Ảnh hưởng,Không ảnh hưởng,Ảnh hưởng,Phân vân,Đồng ý,Không đồng ý
Nam,Kinh tế,Năm 2,Rất đồng ý,Đồng ý,Đồng ý,Đồng ý,Rất đồng ý,Không đồng ý,Đồng ý,Không đồng ý,Nhóm C,Đồng ý,Không đồng ý,Đồng ý,Đồng ý,Hiệu quả nhất,Hiệu quả thứ 3,Hiệu quả thứ 4,Hiệu quả thứ 2,Rất đồng ý,Đồng ý,Đồng ý,Không đồng ý,Phân vân,Ảnh hưởng,Không ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Đồng ý,Không đồng ý
Nữ,Luật,Năm 3,Đồng ý,Rất đồng ý,Phân vân,Không đồng ý,Rất đồng ý,Đồng ý,Đồng ý,Đồng ý,Nhóm C,Đồng ý,Rất đồng ý,Phân vân,Đồng ý,Hiệu quả thứ 3,Hiệu quả nhất,Hiệu quả thứ 4,Hiệu quả thứ 2,Đồng ý,Đồng ý,Phân vân,Rất không đồng ý,Rất ảnh hưởng,Ảnh hưởng,Phân vân,Ảnh hưởng,Không ảnh hưởng,Rất ảnh hưởng,Ảnh hưởng,Đồng ý,Không đồng ý
Nam,Kỹ thuật,Năm 3,Đồng ý,Phân vân,Không đồng ý,Rất không đồng ý,Đồng ý,Phân vân,Rất đồng ý,Đồng ý,Nhóm D,Rất đồng ý,Đồng ý,Phân vân,Phân vân,Hiệu quả nhất,Hiệu quả thứ 2,Hiệu quả thứ 3,Hiệu quả thứ 4,Đồng ý,Rất đồng ý,Đồng ý,Rất không đồng ý,Phân vân,Ảnh hưởng,Không ảnh hưởng,Ảnh hưởng,Phân vân,Rất ảnh hưởng,Ảnh hưởng,Đồng ý,Không đồng ý
Nam,Kinh tế,Năm 3,Rất đồng ý,Đồng ý,Không đồng ý,Không đồng ý,Đồng ý,Rất đồng ý,Rất đồng ý,Đồng ý,Nhóm D,Rất đồng ý,,,,Hiệu quả nhất,Hiệu quả thứ 3,Hiệu quả thứ 4,Hiệu quả thứ 2,Đồng ý,Đồng ý,Không đồng ý,Rất không đồng ý,Rất ảnh hưởng,Rất ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Phân vân,Rất ảnh hưởng,Ảnh hưởng,Rất đồng ý,Rất không đồng ý
Nam,Kỹ thuật,Năm 3,Đồng ý,Rất đồng ý,Không đồng ý,Rất không đồng ý,Đồng ý,Phân vân,Rất đồng ý,Đồng ý,Nhóm I,Đồng ý,Rất đồng ý,Phân vân,Đồng ý,Hiệu quả thứ 2,Hiệu quả nhất,Hiệu quả thứ 4,Hiệu quả thứ 3,Đồng ý,Rất đồng ý,Phân vân,Rất không đồng ý,Phân vân,Rất ảnh hưởng,Không ảnh hưởng,Ảnh hưởng,Không ảnh hưởng,Rất ảnh hưởng,Ảnh hưởng,Đồng ý,Không đồng ý
Nữ,Sư phạm,Năm 3,Phân vân,Rất đồng ý,Không đồng ý,Rất không đồng ý,Rất đồng ý,Phân vân,Đồng ý,Rất đồng ý,Nhóm D,Rất đồng ý,Đồng ý,Phân vân,Phân vân,Hiệu quả nhất,Hiệu quả thứ 3,Hiệu quả thứ 4,Hiệu quả thứ 2,Đồng ý,Rất đồng ý,Phân vân,Rất không đồng ý,Ảnh hưởng,Rất ảnh hưởng,Không ảnh hưởng,Ảnh hưởng,Phân vân,Rất ảnh hưởng,Ảnh hưởng,Đồng ý,Không đồng ý
Nam,Kinh tế,Năm 3,Đồng ý,Rất đồng ý,Phân vân,Đồng ý,Đồng ý,Không đồng ý,Rất đồng ý,Không đồng ý,Nhóm D,Rất đồng ý,Đồng ý,Đồng ý,Đồng ý,Hiệu quả nhất,Hiệu quả thứ 3,Hiệu quả thứ 2,Hiệu quả thứ 4,Đồng ý,Rất đồng ý,Đồng ý,Không đồng ý,Ảnh hưởng,Rất ảnh hưởng,Không ảnh hưởng,Ảnh hưởng,Phân vân,Rất ảnh hưởng,Ảnh hưởng,Đồng ý,Không đồng ý
Nam,Công nghệ thông tin,Năm 3,Rất đồng ý,Rất đồng ý,Phân vân,Đồng ý,Đồng ý,Phân vân,Rất đồng ý,Đồng ý,Nhóm D,Rất đồng ý,Đồng ý,Không đồng ý,Đồng ý,Hiệu quả nhất,Hiệu quả thứ 2,Hiệu quả thứ 4,Hiệu quả thứ 3,Phân vân,Đồng ý,Rất đồng ý,Rất không đồng ý,Rất ảnh hưởng,Ảnh hưởng,Phân vân,Rất ảnh hưởng,Ảnh hưởng,Rất ảnh hưởng,Ảnh hưởng,Đồng ý,Không đồng ý
Nam,Công nghệ thông tin,Năm 3,Đồng ý,Rất đồng ý,Phân vân,Không đồng ý,Rất đồng ý,Phân vân,Đồng ý,Đồng ý,Nhóm D,Rất đồng ý,Đồng ý,Phân vân,Đồng ý,Hiệu quả nhất,Hiệu quả thứ 3,Hiệu quả thứ 4,Hiệu quả thứ 2,Rất đồng ý,Đồng ý,Phân vân,Không đồng ý,Rất ảnh hưởng,Ảnh hưởng,Không ảnh hưởng,Ảnh hưởng,Phân vân,Rất ảnh hưởng,Phân vân,Đồng ý,Không đồng ý
Nữ,Ngôn ngữ,Năm 2,Đồng ý,Đồng ý,Phân vân,Phân vân,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Nhóm S,Đồng ý,Đồng ý,Đồng ý,Đồng ý,Hiệu quả nhất,Hiệu quả thứ 2,Hiệu quả thứ 3,Hiệu quả thứ 4,Không đồng ý,Không đồng ý,Đồng ý,Phân vân,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Phân vân,Phân vân
Nữ,Công nghệ thông tin,Năm 3,Đồng ý,Rất đồng ý,Không đồng ý,Đồng ý,Đồng ý,Phân vân,Rất đồng ý,Đồng ý,Nhóm S,Đồng ý,Rất đồng ý,Đồng ý,Đồng ý,Hiệu quả thứ 3,Hiệu quả nhất,Hiệu quả thứ 4,Hiệu quả thứ 2,Không đồng ý,Đồng ý,Đồng ý,Rất không đồng ý,Ảnh hưởng,Ảnh hưởng,Ảnh hưởng,Rất ảnh hưởng,Không ảnh hưởng,Rất ảnh hưởng,Ảnh hưởng,Đồng ý,Không đồng ý
